ID,Catalog_ID,SMILES,PriceG,PriceMol,MW,HAcp,HDon,RotBnd,HvyAtm,Rings,HetAtm,tPSA,LogP
C670,EN300-13889,CS(=O)c1ccccc1C(=O)O,24.3,4476.448799999999,184.21599999999998,2,1,2,12,1,4,73.58,1.1222
C675,EN300-26647,O=C(O)c1sccc1-n1cccc1,40.0,7729.08,193.227,2,1,2,13,2,4,70.47,2.237
C682,EN300-26163,O=C(O)CCn1ccnc1,32.8,4596.6576000000005,140.14200000000002,2,1,3,10,1,4,55.12,0.3577999999999999
C683,EN300-34537,Cl.O=C(O)Cc1ccccn1,1.76,305.53424,173.59900000000002,2,1,2,11,1,4,50.19,1.1304999999999998
C687,EN300-07178,COc1ccc2nc(C)c(C(=O)O)cc2c1,36.2,7863.5088000000005,217.224,3,1,2,16,2,4,59.42,2.25002
C688,EN300-24305,N#Cc1ccc(CCC(=O)O)cc1,2.34,409.93758,175.187,2,1,3,13,1,3,61.09,1.57548
C693,EN300-11994,O=C(O)CCc1ccccc1F,1.43,240.47880999999995,168.16699999999997,1,1,3,12,1,3,37.3,1.8429
C706,EN300-14885,CC(O)(CC(=O)O)C(F)(F)F,6.4,1101.4527999999998,172.10199999999998,2,2,2,11,0,6,57.53,0.7744000000000001
C708,EN300-26760,Cc1cc2ncc(C(=O)O)c(C)n2n1,26.4,5047.415999999999,191.19,3,1,1,14,2,5,67.49,1.0443399999999998
C710,EN300-25986,O=C(O)CCn1cccn1,9.8,1373.3916000000002,140.142,2,1,3,10,1,4,55.12,0.3578000000000001
C711,EN300-03934,COc1ccc(C(=O)NCC(=O)O)cc1,15.8,3305.3758000000003,209.201,3,2,4,15,1,5,75.63,0.5095999999999996
C719,EN300-06661,COc1ccccc1N1CC(C(=O)O)CC1=O,17.1,4022.5868999999993,235.23899999999995,3,1,3,17,2,5,66.84,1.1326999999999998
C726,EN300-24271,Cc1c(C(=O)O)cnn1-c1ccccc1,8.5,1718.8105000000003,202.21300000000002,2,1,2,15,2,4,55.12,1.87892
C734,EN300-24000,O=C(O)c1ccc(C#Cc2ccccc2)cc1,19.0,4222.617,222.24300000000002,1,1,1,17,2,2,37.3,2.784600000000001
C742,EN300-24688,O=C(O)c1cc(C2CC2)on1,21.7,3323.0729,153.137,3,1,2,11,2,4,63.33,1.2502
C743,EN300-24264,Cc1cccc(CCC(=O)O)c1,18.9,3103.4556,164.204,1,1,3,12,1,2,37.3,2.01222
C745,EN300-24316,CC(C)c1cc(C(=O)O)no1,19.5,3025.4834999999994,155.15299999999996,3,1,2,11,1,4,63.33,1.4962000000000002
C746,EN300-15093,O=C(O)c1cc2c(F)cc(F)cc2[nH]1,8.28,1632.3191999999997,197.14,1,2,1,14,2,5,53.089999999999996,2.1443
