Molecule ChEMBL ID;Molecule Name;Molecule Max Phase;Molecular Weight;#RO5 Violations;AlogP;Compound Key;Smiles;Standard Type;Standard Relation;Standard Value;Standard Units;pChEMBL Value;Data Validity Comment;Comment;Uo Units;Ligand Efficiency BEI;Ligand Efficiency LE;Ligand Efficiency LLE;Ligand Efficiency SEI;Potential Duplicate;Assay ChEMBL ID;Assay Description;Assay Type;BAO Format ID;BAO Label;Assay Organism;Assay Tissue ChEMBL ID;Assay Tissue Name;Assay Cell Type;Assay Subcellular Fraction;Assay Parameters;Assay Variant Accession;Assay Variant Mutation;Target ChEMBL ID;Target Name;Target Organism;Target Type;Document ChEMBL ID;Source ID;Source Description;Document Journal;Document Year;Cell ChEMBL ID;Properties;Action Type;Standard Text Value;Value
CHEMBL361494;;;472.55;0;2.51;29;CCOc1ccc(-c2nn3nc(S(C)(=O)=O)ccc3c2-c2ccc(S(N)(=O)=O)cc2)cc1;IC50;'>';100000.0;nM;;;;UO_0000065;;;;;0;CHEMBL833051;Inhibition of human cyclooxygenase-1 expressed in COS cells;B;BAO_0000219;cell-based format;Homo sapiens;;;COS;;;;;CHEMBL221;Prostaglandin G/H synthase 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1138006;1;Scientific Literature;Bioorg Med Chem Lett;2004;;;;;100000.0
CHEMBL16977;;;290.36;0;3.74;27;CC(C)(C)c1cc(-c2nnc(O)o2)cc(C(C)(C)C)c1O;IC50;'=';3200.0;nM;5.50;;;UO_0000065;18.92;0.36;1.75;6.92;0;CHEMBL878778;IC50 value against Prostaglandin G/H synthase 1 of human platelet rich plasma;B;BAO_0000366;cell-free format;;CHEMBL3559721;Plasma;;;;;;CHEMBL221;Prostaglandin G/H synthase 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1132622;1;Scientific Literature;J Med Chem;1999;;;;;3.2
CHEMBL127674;;;312.43;0;4.49;1d;Cc1ccc(C2=C(c3ccc(S(C)(=O)=O)cc3)CCC2)cc1;IC50;'>';100000.0;nM;;;;UO_0000065;;;;;0;CHEMBL767822;Tested for inhibition against Prostaglandin G/H synthase 1;B;BAO_0000357;single protein format;;;;;;;;;CHEMBL221;Prostaglandin G/H synthase 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1127401;1;Scientific Literature;J Med Chem;1994;;;;;100.0
CHEMBL865;VALDECOXIB;4.0;314.37;0;2.96;2;Cc1onc(-c2ccccc2)c1-c1ccc(S(N)(=O)=O)cc1;IC50;'=';140000.0;nM;;Outside typical range;;UO_0000065;;;;;0;CHEMBL768741;In Vitro activity of compound against human recombinant Prostaglandin G/H synthase 1;B;BAO_0000357;single protein format;;;;;;;;;CHEMBL221;Prostaglandin G/H synthase 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1132956;1;Scientific Literature;J Med Chem;2000;;;;;140.0
CHEMBL111562;;;329.42;0;3.44;8h;COc1ccc(C2=C(c3ccc(S(N)(=O)=O)cc3)CCC2)cc1;IC50;'=';200.0;nM;6.70;;;UO_0000065;20.34;0.40;3.26;9.65;0;CHEMBL769636;In vitro inhibition of prostaglandin G/H synthase 1.;B;BAO_0000357;single protein format;;;;;;;;;CHEMBL221;Prostaglandin G/H synthase 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1128591;1;Scientific Literature;J Med Chem;1995;;;;;0.2
CHEMBL69667;;;349.80;0;3.15;4;CS(=O)(=O)c1ccc(-c2coc(=O)n2-c2ccc(Cl)cc2)cc1;IC50;'=';13614.45;nM;4.87;;;UO_0000065;13.91;0.29;1.72;7.02;1;CHEMBL873460;Binding affinity towards Prostaglandin G/H synthase 1;B;BAO_0000357;single protein format;;;;;;;;;CHEMBL221;Prostaglandin G/H synthase 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1136323;1;Scientific Literature;Bioorg Med Chem Lett;2003;;;;;1.866
CHEMBL171335;;;357.45;0;4.35;13;NS(=O)(=O)c1ccc(C2=C(c3ccc(F)cc3)CC3(CCC3)C2)cc1;IC50;'=';830.0;nM;6.08;;;UO_0000065;17.01;0.33;1.73;10.11;0;CHEMBL769635;In vitro inhibitory activity against constitutive form of human recombinant Prostaglandin G/H synthase 1;B;BAO_0000357;single protein format;;;;;;;;;CHEMBL221;Prostaglandin G/H synthase 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1151046;1;Scientific Literature;Bioorg Med Chem Lett;1995;;;;;0.83
CHEMBL16733;;;334.49;0;4.90;20b;CCOc1nnc(-c2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)s1;IC50;'=';1200.0;nM;5.92;;;UO_0000065;17.70;0.35;1.02;10.72;0;CHEMBL878778;IC50 value against Prostaglandin G/H synthase 1 of human platelet rich plasma;B;BAO_0000366;cell-free format;;CHEMBL3559721;Plasma;;;;;;CHEMBL221;Prostaglandin G/H synthase 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1132622;1;Scientific Literature;J Med Chem;1999;;;;;1.2
CHEMBL440001;;;426.51;0;4.02;22 (Racemic);C[C@H]1C(Cn2ncc(-c3ccc(S(C)(=O)=O)cc3)c(-c3ccc(F)cc3)c2=O)[C@@H]1C;IC50;'=';3000.0;nM;5.52;;;UO_0000065;12.95;0.25;1.50;8.00;0;CHEMBL766826;In vitro inhibitory activity against sensitive U-937 microsomal prostaglandin G/H synthase 1;B;BAO_0000019;assay format;;;;;;;;;CHEMBL221;Prostaglandin G/H synthase 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1136575;1;Scientific Literature;Bioorg Med Chem Lett;2003;;;;;3.0
CHEMBL416989;;;412.46;0;4.68;28;CSc1cccc(-c2nc(C(F)(F)F)cn2-c2ccc(S(C)(=O)=O)cc2)c1;IC50;'>';100000.0;nM;;;;UO_0000065;;;;;0;CHEMBL768737;Concentration required to inhibit human prostaglandin G/H synthase 1 (COX-1) by 50%;B;BAO_0000357;single protein format;;;;;;;;;CHEMBL221;Prostaglandin G/H synthase 1;Homo sapiens;SINGLE PROTEIN;CHEMBL1130039;1;Scientific Literature;J Med Chem;1997;;;;;100.0
