ChEMBL_ID;SMILES;IC50_COX1_median;IC50_COX2_median;IC50_COX1_mean;IC50_COX2_mean
CHEMBL1290801;Cc1cc(OC(F)(F)F)cc2c1O[C@@H](C(F)(F)F)C(C(=O)O)=C2;62700.0;100000.0;62700.0;100000.0
CHEMBL1290802;Cc1cc(OC(F)(F)F)cc2c1O[C@H](C(F)(F)F)C(C(=O)O)=C2;2690.0;14.0;2690.0;14.0
CHEMBL1290803;CCc1cc(OC(F)(F)F)cc2c1O[C@@H](C(F)(F)F)C(C(=O)O)=C2;100000.0;860.0;100000.0;860.0
CHEMBL129215;CCC1(CC)CC(c2ccc(F)cc2)=C(c2ccc(S(C)(=O)=O)cc2)C1;;65000.0;;65000.0
CHEMBL129308;Cn1ccc(-c2ccc(F)cc2)c1-c1ccc(S(C)(=O)=O)cc1;;20000.0;;20000.0
CHEMBL12952;COc1ccc2cc(C(C)C(=O)O)ccc2c1;;280.0;;280.0
CHEMBL129861;Cn1c(Br)cc(-c2ccc(F)cc2)c1-c1ccc(S(C)(=O)=O)cc1;;35500.0;;35500.0
CHEMBL1316;CC(C(=O)O)c1ccc2c(c1)[nH]c1ccc(Cl)cc12;6602.65;102.0;6602.65;841.86
CHEMBL131820;COc1ccc(-c2nc3c(C(N)=O)cccc3[nH]2)cc1;;11560.0;;11560.0
CHEMBL1322701;O=C(Nc1ccccc1)Nc1nnc(-c2ccccc2)o1;;63.0;;63.0
CHEMBL1333512;c1ccc(Nc2ccc(Nc3ccccc3)cc2)cc1;;580.0;;580.0
CHEMBL134342;O=C(O)CCCC[C@@H]1CCSS1;;0.0;;0.0
CHEMBL13623;CC(C)(C)c1cc(C(=O)CCCC2CC2)cc2c1OCC2(C)C;7000.0;220.0;7000.0;220.0
CHEMBL13661;CCCCC(=O)c1cc(C(C)(C)C)c2c(c1)C(C)(C)CO2;2000.0;40.0;2000.0;40.0
CHEMBL137743;CC(=O)NCCc1ccc(O)c(O)c1;18900.0;;18900.0;
CHEMBL1380054;O=Cc1cn(-c2ccccc2)nc1-c1ccccc1;;17.0;;17.0
CHEMBL138191;C[S+]([O-])c1ccc(C(Nc2cccnc2)C(=O)c2ccc(F)cc2)cc1;;500.0;;500.0
CHEMBL13878;C#CCCCC(=O)c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1;250.0;100.0;250.0;100.0
CHEMBL1388;Oc1ccc(OCc2ccccc2)cc1;;3726.0;;3726.0
