ID,SMILES,PriceMol,tPSA,RotB,LogP,MW,HBD,HBA,MR,HvyAtm,Atoms,Rings,CAtm,HetAtm
A31C141N76,COC(=O)c1ccc(/C=C2\N=C(C=C(C)C)N(c3cc(C)n[nH]3)C2=O)cc1,166.24308000000002,87.65,4,3.2571200000000013,364.4050000000001,1,5,103.43520000000002,27,27,3,20,7
A31C141N261,COC(=O)c1ccc(/C=C2\N=C(C=C(C)C)N(c3ccc(C)c(O)c3)C2=O)cc1,178.21872000000002,79.19999999999999,4,4.239620000000003,390.43900000000014,1,5,112.95430000000002,29,29,3,23,6
A31C141N116,COC(=O)c1ccc(/C=C2\N=C(C=C(C)C)N(c3ccc(C)cc3F)C2=O)cc1,179.13458,58.97,4,4.673120000000004,392.4300000000001,0,4,111.24750000000003,29,29,3,23,6
A31C141N313,COC(=O)c1ccc(/C=C2\N=C(C=C(C)C)N(c3ccc(CC#N)cc3)C2=O)cc1,182.36378,82.75999999999999,5,4.291680000000003,399.45000000000016,0,5,115.86950000000002,30,30,3,24,6
A31C141N277,COC(=O)c1ccc(/C=C2\N=C(C=C(C)C)N(c3ccc(Cl)nn3)C2=O)cc1,181.16042,84.75,4,3.6690000000000023,396.8340000000001,0,6,107.15250000000002,28,28,3,20,8
A31C141N112,COC(=O)c1ccc(/C=C2\N=C(C=C(C)C)N(c3ccc4[nH]c(=O)[nH]c4c3)C2=O)cc1,190.1778,107.61999999999998,4,3.395200000000001,416.4370000000001,2,5,119.02990000000003,31,31,4,23,8
A31C141N320,COC(=O)c1ccc(/C=C2\N=C(C=C(C)C)N(c3cccc(CO)c3)C2=O)cc1,188.07112,79.19999999999999,5,3.717900000000003,390.43900000000014,1,5,112.47530000000003,29,29,3,23,6
A31C141N79,COC(=O)c1ccc(/C=C2\N=C(C=C(C)C)N(c3nncs3)C2=O)cc1,168.08906,112.99000000000001,4,3.0771000000000015,368.41800000000006,0,7,100.01950000000002,26,26,3,18,8
A31C77N247,COC(=O)c1ccc(/C=C2\N=C(CN(C)C)N(C(=O)CN)C2=O)cc1,197.51733,105.30000000000001,5,0.10170000000000068,344.3710000000001,1,7,92.65490000000001,25,25,2,17,8
A31C77N247,COC(=O)c1ccc(/C=C2\N=C(CN(C)C)N(CC(N)=O)C2=O)cc1,197.51733,105.29999999999998,6,0.10170000000000068,344.3710000000001,1,6,92.65490000000001,25,25,2,17,8
A31C77N101,COC(=O)c1ccc(/C=C2\N=C(CN(C)C)N(CCO)C2=O)cc1,174.76572999999996,82.44,6,0.6086999999999996,331.37200000000007,1,6,90.54630000000002,24,24,2,17,7
A31C77N76,COC(=O)c1ccc(/C=C2\N=C(CN(C)C)N(c3cc(C)n[nH]3)C2=O)cc1,191.34275,90.88999999999999,5,1.8525199999999997,367.40900000000005,1,6,102.55820000000003,27,27,3,19,8
A31C77N79,COC(=O)c1ccc(/C=C2\N=C(CN(C)C)N(c3nncs3)C2=O)cc1,193.18872999999996,116.22999999999999,5,1.6724999999999999,371.422,0,8,99.14250000000003,26,26,3,17,9
A31C362N101,COC(=O)c1ccc(/C=C2\N=C(c3cc(F)cc(F)c3)N(CCO)C2=O)cc1,179.50167999999996,79.19999999999999,5,2.3736000000000006,386.35400000000016,1,5,97.45230000000002,28,28,3,20,8
A31C362N76,COC(=O)c1ccc(/C=C2\N=C(c3cc(F)cc(F)c3)N(c3cc(C)n[nH]3)C2=O)cc1,196.0787,87.65,4,3.617420000000002,422.39100000000013,1,5,109.4642,31,31,4,22,9
A31C362N79,COC(=O)c1ccc(/C=C2\N=C(c3cc(F)cc(F)c3)N(c3nncs3)C2=O)cc1,197.92467999999997,112.99000000000001,4,3.437400000000002,426.4040000000001,0,7,106.0485,30,30,4,20,10
A97C141N247,COc1cc(/C=C2\N=C(C=C(C)C)N(C(=O)CN)C2=O)cc(OC)c1,173.34502,94.22000000000001,5,1.7368999999999997,343.3830000000001,1,6,95.29640000000002,25,25,2,18,7
A97C141N240,COc1cc(/C=C2\N=C(C=C(C)C)N(C3CCN(C)CC3)C2=O)cc(OC)c1,193.29382,54.370000000000005,5,3.3458000000000023,383.4920000000002,0,5,111.75400000000005,28,28,3,22,6
A97C141N247,COc1cc(/C=C2\N=C(C=C(C)C)N(CC(N)=O)C2=O)cc(OC)c1,173.34502,94.21999999999998,6,1.7368999999999997,343.3830000000001,1,5,95.29640000000002,25,25,2,18,7
A97C141N282,COc1cc(/C=C2\N=C(C=C(C)C)N(CC(O)CO)C2=O)cc(OC)c1,179.89408,91.59000000000002,7,1.6047999999999998,360.4100000000001,2,6,99.19460000000002,26,26,2,19,7
A97C141N660,COc1cc(/C=C2\N=C(C=C(C)C)N(CC3CCOC3)C2=O)cc(OC)c1,177.11524,60.36,6,3.288100000000002,370.4490000000001,0,5,105.02800000000003,27,27,3,21,6
A97C141N101,COc1cc(/C=C2\N=C(C=C(C)C)N(CCO)C2=O)cc(OC)c1,150.59342,71.36,6,2.2439,330.38400000000007,1,5,93.18780000000004,24,24,2,18,6
A97C141N76,COc1cc(/C=C2\N=C(C=C(C)C)N(c3cc(C)n[nH]3)C2=O)cc(OC)c1,167.17044,79.81,5,3.4877200000000013,366.4210000000001,1,5,105.19970000000002,27,27,3,20,7
A97C141N261,COc1cc(/C=C2\N=C(C=C(C)C)N(c3ccc(C)c(O)c3)C2=O)cc(OC)c1,179.14608,71.36,5,4.470220000000004,392.45500000000015,1,5,114.71880000000003,29,29,3,23,6
A97C141N116,COc1cc(/C=C2\N=C(C=C(C)C)N(c3ccc(C)cc3F)C2=O)cc(OC)c1,180.06194000000002,51.129999999999995,5,4.903720000000004,394.44600000000014,0,4,113.01200000000004,29,29,3,23,6
A97C141N313,COc1cc(/C=C2\N=C(C=C(C)C)N(c3ccc(CC#N)cc3)C2=O)cc(OC)c1,183.29114,74.92,6,4.522280000000004,401.4660000000001,0,5,117.63400000000003,30,30,3,24,6
A97C141N277,COc1cc(/C=C2\N=C(C=C(C)C)N(c3ccc(Cl)nn3)C2=O)cc(OC)c1,182.08778,76.91000000000001,5,3.899600000000002,398.85000000000014,0,6,108.91700000000003,28,28,3,20,8
A97C141N112,COc1cc(/C=C2\N=C(C=C(C)C)N(c3ccc4[nH]c(=O)[nH]c4c3)C2=O)cc(OC)c1,191.10516,99.77999999999999,5,3.625800000000001,418.4530000000002,2,5,120.79440000000004,31,31,4,23,8
A97C141N320,COc1cc(/C=C2\N=C(C=C(C)C)N(c3cccc(CO)c3)C2=O)cc(OC)c1,188.99848,71.36,6,3.948500000000003,392.45500000000015,1,5,114.23980000000005,29,29,3,23,6
A97C141N79,COc1cc(/C=C2\N=C(C=C(C)C)N(c3nncs3)C2=O)cc(OC)c1,169.01642,105.14999999999999,5,3.3077000000000014,370.43400000000014,0,7,101.78400000000002,26,26,3,18,8
A97C77N247,COc1cc(/C=C2\N=C(CN(C)C)N(C(=O)CN)C2=O)cc(OC)c1,198.44469,97.46,6,0.33230000000000104,346.38700000000006,1,7,94.41940000000002,25,25,2,17,8
A97C77N247,COc1cc(/C=C2\N=C(CN(C)C)N(CC(N)=O)C2=O)cc(OC)c1,198.44469,97.46,7,0.33230000000000104,346.38700000000006,1,6,94.41940000000002,25,25,2,17,8
A97C77N101,COc1cc(/C=C2\N=C(CN(C)C)N(CCO)C2=O)cc(OC)c1,175.69308999999998,74.60000000000001,7,0.8392999999999997,333.38800000000003,1,6,92.31080000000004,24,24,2,17,7
A97C77N76,COc1cc(/C=C2\N=C(CN(C)C)N(c3cc(C)n[nH]3)C2=O)cc(OC)c1,192.27011,83.05,6,2.08312,369.42500000000007,1,6,104.32270000000003,27,27,3,19,8
A97C77N79,COc1cc(/C=C2\N=C(CN(C)C)N(c3nncs3)C2=O)cc(OC)c1,194.11609,108.39,6,1.9031,373.4380000000001,0,8,100.90700000000002,26,26,3,17,9
A97C362N101,COc1cc(/C=C2\N=C(c3cc(F)cc(F)c3)N(CCO)C2=O)cc(OC)c1,180.42904,71.36,6,2.6042000000000005,388.3700000000002,1,5,99.2168,28,28,3,20,8
A97C362N76,COc1cc(/C=C2\N=C(c3cc(F)cc(F)c3)N(c3cc(C)n[nH]3)C2=O)cc(OC)c1,197.00606,79.81,5,3.8480200000000018,424.40700000000015,1,5,111.22870000000002,31,31,4,22,9
A97C362N79,COc1cc(/C=C2\N=C(c3cc(F)cc(F)c3)N(c3nncs3)C2=O)cc(OC)c1,198.85204,105.14999999999999,5,3.668000000000002,428.42000000000013,0,7,107.81300000000002,30,30,4,20,10
